帧号,锥桶编号,X坐标(米),Y坐标(米),Z坐标(米),最终颜色,判断,实际IoU,YOLO颜色,YOLO置信度
988,1,6.195,4.196,-0.807,红色,本帧颜色确认,0.381,红色,0.842
988,2,9.261,-2.288,-0.795,小黄锥,本帧颜色确认,0.298,小黄锥,0.250
988,3,11.898,-1.548,-0.819,未知,雷达框未匹配,,,
988,4,9.893,-5.911,-0.803,未知,雷达框未匹配,,,
988,5,11.928,2.839,-0.784,红色,本帧颜色确认,0.132,红色,0.105
988,6,9.586,-4.137,-0.801,小黄锥,本帧颜色确认,0.195,大黄锥,0.199
988,7,8.908,0.262,-0.805,红色,沿用历史颜色,,,
988,8,11.600,0.672,-0.746,红色,沿用历史颜色,,,
988,9,12.424,-5.787,-0.717,未知,雷达框未匹配,,,
988,10,7.171,0.845,-0.830,蓝色,本帧颜色确认,0.358,蓝色,0.768
988,11,12.218,-3.486,-0.764,红色,沿用历史颜色,,,
988,12,11.225,-5.775,-0.738,红色,本帧颜色确认,0.135,红色,0.158
988,13,7.577,7.003,-0.808,红色,本帧匹配成功,0.166,红色,0.722
988,14,8.143,2.386,-0.818,蓝色,沿用历史颜色,,,
988,15,4.411,2.521,-0.791,红色,本帧颜色确认,0.460,红色,0.871
988,16,15.865,1.120,-0.821,红色,沿用历史颜色,,,
988,17,13.767,1.790,-0.752,红色,本帧颜色确认,0.155,红色,0.383
988,18,5.741,-0.287,-0.858,蓝色,沿用历史颜色,,,
